V1,V2,V3,V4,V5,V6,V7,V8
247 Members of the,,Opraváři,Militaires,Armeeangehörige,Militari di leva,see “Soldiers”,Opravári
armed,,,,,,,
forces,,,,,,,
248 Members of,,Členové parlamentu,Parlementaires,Parlamentsabgeordnete,Parlamentari,Parlamentsmedlemmer,Členovia parlamentu
parliament,,,,,,,
249 Metallurgists,,Hutníci,Métallurgistes,Metallurgen,Metalmeccanici,Metallurger,Hutníci
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
250 Meteorologists,,Meteorologové,Météorologues,Meteorologen,Metereologi,Meteorologer,Meteorológovia
251 Millionaires,,Milionáři,Millionnaires homme,Millionäre,Milionari,Millionærer,Milionári
252 Miners,,Horníci,Mineurs,Bergarbeiter,Minatori,Gruvearbeidere,Baníci
253 Models,,Modelové,Modèles,Models,Modelli,Modeller,Modeli
254 Mountain climbers,,Horolezci,Alpinistes,Bergsteiger,Alpinisti,Fjellklatrere,Horolezci
255 Murderers,,Vrahové,Meurtriers,Mörder,Assassini,Mordere,Vrahovia
256 Musicians,,Muzikanti,Musiciens,Musiker,Musicisti,Musikere,Muzikanti
257 Nannies,,N/A,N/A,N/A,N/A,Barnepassere,Pestún
258 Neighbours,,Sousedé,Voisins,Nachbarn,Vicini di casa,Naboer,Susedia
259 Neurologists,,Neurologové,Neurologues,Neurologen,Neurologi,Nevrologer,Neurológovia
260 Neurosurgeons,,Neurochirurgové,Neurochirurgiens,Neurochirurgen,Neurochirurghi,Nevrokirurger,Neurochirurgovia
261 News readers,,Hlasatelé,Présentateurs des,Nachrichtensprecher,Annunciatori televisivi,Nyhetsopplesere,Hlásatelia televíznych
,,,informations,,,,novín
262 Novelists,,Prozaici,Romanciers,Romanautoren,Romanzieri,Skjønnlitterære forfattere,Prozaici
263 Nurses,,Zdravotní sestry,Infirmiers,Krankenpfleger,Infermieri,Sykepleiere,Zdravotní bratia
264 Nursery teachers,,Učitelé ve školce,Éducateurs de la petite,Erzieher,Maestri d’asilo nido,Førskolelærere,Učitelia v materskej
,,,enfance,,,,škôlke
265 Nutritionists,,Nutriční specialisti,Nutritionnistes,Ernährungswissenschaftler,Nutrizionisti,Ernæringsfysiologer,Výživoví špecialisti
266 Occupational,,Ergoterapeuti,Ergothérapeutes,Ergotherapeuten,Terapisti occupazionali,Ergoterapeuter,Ergoterapeuti
therapists,,,,,,,
267 Oceanographers,,Oceánografové,Océanographes,Meeresforscher,Oceanografi,Oseanografer,Oceánografovia
268 Office workers,,Administrativní pracovníci,Employés de bureau,Büroangestellte,Impiegati d’ufficio,Kontormedarbeidere,Administratívni
,,,,,,,pracovníci
269 Orchestra conductors,,Dirigenti,Chefs d’orchestre,Dirigenten,Direttori d’orchestra,Dirigenter,Dirigenti
270 Orthodontists,,Odborníci v ortodoncii,Orthodontistes,Kieferorthopäden,Ortodontisti,Reguleringstannleger,Ortodontisti
271 Palm readers,,Věštci z dlaně,Chiromanciens,Handleser,Chiromanti,Håndlesere,Veštci z dlane
272 Parachutists,,Parašutisté,Parachutistes,Fallschirmspringer,Paracadutisti,Fallskjermhoppere,Parašutisti
273 Parents,,Rodiče,Parents,Eltern,Genitori,Foreldre,Rodičia
274 Pastry chefs,,Cukráři,Pâtissiers,Konditoren,Pasticceri,Konditorer,Cukrári
275 Patients,,Pacienti,Patients,Patienten,Pazienti,Pasienter,Pacienti
276 Pawnbrokers,,Zástavárníci,Prêteurs sur gage,Pfandleiher,Prestatori su pegno,Pantelånere,Pracovníci záložne
277 Pedestrians,,Chodci,Piétons,Fußgänger,Pedoni,Fotgjengere,Chodci
278 Pediatricians,,Pediatři,Pédiatres,Kinderärzte,Pediatri,Barneleger,Pediatri
279 Pensioners,,Senioři,Retraités,Rentner,Pensionati,Pensjonister,Dôchodcovia
280 Persons,,Mužské osoby,Personnes,Personen,Persone,Personer,Osoby
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
281 Personal trainers,,Osobní trenéři,Entraîneurs privés,Fitnesstrainer,Personal trainer,Personlige trenere,Osobní tréneri
282 Pharmacists,,Farmaceuti,Pharmaciens,Apotheker,Farmacisti,Apotekere,Farmaceuti
283 Philanthropists,,Filantropové,Philanthropes,Philanthropen,Filantropi,Filantroper,Filantropi
284 Photographers,,Fotografové,Photographes,Fotografen,Fotografi,Fotografer,Fotografi
285 Physicians,,Doktoři/lékaři,Médecins,Mediziner,Medici specialisti,Leger,Lekári
286 Physicists,,Fyzici,Physiciens,Physiker,Fisici,Fysikere,Fyzici
287 Physics students,,Studenti fyziky,Étudiants en physique,Physikstudenten,Studenti di fisica,Fysikkstudenter,Študenti fyziky
288 Physiotherapists,,Fyzioterapeuti,Physiothérapeutes,Physiotherapeuten,Fisioterapisti,Fysioterapeuter,Fyzioterapeuti
289 Piano players,,Klavíristé,Joueurs de piano,Klavierspieler,Pianisti,Pianister,Klaviristi
290 Pilots,,Piloti,Pilotes,Piloten,Piloti,Piloter,Piloti
291 Playgroup leaders,,Vedoucí dětského,Directeurs de garderie,Krabbelgruppenleiter,Capisquadra,N/A,Vedúci detského krúžku
,,kroužku,,,,,
292 Plumbers,,Instalatéři,Plombiers,Klempner,Idraulici,Rørleggere,Inštalatéri
293 Poets,,Básníci,Poètes,Dichter,Poeti,Diktere,Básnici
294 Police Inspectors,,Inspektoři,Inspecteurs,Kommissare,Ispettori,Inspektører,Inšpektori
295 Police officers,,Policisté,Policiers,Polizisten,Poliziotti,Politimenn,Policajti
296 Police sergeants,,Seržanti,Sergents de police,Polizeiobermeister,Sergenti di polizia,Overbetjenter,Seržanti
297 Political activists,,Političtí aktivisté,Activistes politiques,Politische Aktivisten,Attivisti politici,Aktivister,Politickí aktivisti
298 Politicians,,Politici,Politiciens,Politiker,Politici,Politikere,Politici
299 Porters,,Portýři,Bagagistes,Gepäckträger,Facchini,Pikkoloer,Vrátnici/nosiči
300 Postal workers,,Pracovníci pošty,Employés de poste,Postangestellte,Impiegati delle poste,Postbetjenter,Poštoví pracovníci
301 Postmen,,Pošťáci,Facteurs,Postboten,Postini,Postbud,Poštoví doručovatelia
302 Presidents,,Prezidenti,Présidents,Präsidenten,Presidenti,Presidenter,Prezidenti
303 Priests,,Kazatelé,Prêtres,Priester,N/A,Prester,Kňazi
304 Primary school,,Učitelé na základní škole,Maîtres d’école primaire,Grundschullehrer,Maestri di scuola elementare,Barneskolelærere,Učitelia základných škôl
teachers,,,,,,,
305 Prison guards,,Vězenští dozorci,Gardiens de prison,N/A,Secondini,Fengselsbetjenter,Väzenskí dozorcovia
306 Prisoners,,Vězni,Prisonniers,Gefangene,Carcerati,Fanger,Väzni
307 Private detectives,,N/A,Détectives privés,Privatdetektive,Investigatori privati,Privatdetektiver,Súkromní detektívi
308 Probation officers,,Sociální kurátoři,Agents de probation,Bewährungshelfer,Sorveglianti di persone in,Tilsynsførere,Sociálni kurátori
,,,,,libertà vigilata,,
309 Professional athletes,,Profesionální sportovci,Athlètes professionnels,Profi-Sportler,Atleti professionisti,Profesjonelle,Profesionálni športovci
,,,,,,idrettsutøvere,
310 Professors,,Profesoři,Professeurs,Professoren,Professori,Professorer,Profesori
311 Projectionists,,Promítači,Projectionnistes,Filmvorführer,Proiezionisti,Kinomaskinister,Premietači
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
312 Proofreaders,,Korektoři,Correcteurs,Korrekturleser,Correttori di bozze,Korrekturlesere,Korektori
313 Prostitutes,,Prostituti,Prostitués,Prostituierte,Prostituti,Prostituerte,Prostitúti
314 Protestors,,Demonstranti,Manifestants,Demonstranten,Dimostranti,Demonstranter,Demonštranti
315 Psychiatrists,,Psychiatři,Psychiatres,Psychiater,Psichiatri,Psykiatikere,Psychiatri
316 Psychology students,,Studenti psychologie,Étudiants en psychologie,Psychologiestudenten,Studenti di psicologia,Psykologistudenter,Študenti psychológie
317 Publishers,,Vydavatelé,Éditeurs,Verleger,Editori,Forleggere,Vydavatelia
318 Racing car drivers,,Řidiči závodních aut,Pilotes de course,Rennfahrer,Piloti di auto da corsa,Racerbilsjåfører,Jazdci závodných aút
319 Radio announcers,,Rozhlasoví hlasatelé,Animateurs radio,Radiosprecher,Annunciatori radiofonici,Programledere i radio,Rozhlasoví hlásatelia
320 Radio technicians,,Rozhlasoví technici,Techniciens radio,Radiotechniker,Radiotecnici,Radioteknikere,Rozhlasoví technici
321 Rape victims,,Oběti znásilnění,Victimes de viol,Vergewaltigungsopfer,Vittime di violenza sessuale,Voldtektsofre,Obete znásilnenia
322 Rapists,,Násilníci,Violeurs,Vergewaltiger,Violentatori,Voldtektsmenn,Násilníci
323 Receptionists,,Recepční,Réceptionnistes,Rezeptionisten,Adetti alla riception,Resepsjonister,Recepční
324 Relatives,,Příbuzní,Proches (famille),Verwandte,Parenti,Slektninger,Príbuzní
325 Reporters,,Reportéři,Journalistes,Reporter,Cronisti,Reportere,Reportéri
326 Rescue workers,,Záchranáři,Secouristes,Rettungskräfte,Soccorritori,Redningsarbeidere,Záchranári
327 Research scientists,,Vědečtí pracovníci,Chercheurs,Forscher,Ricercatori scientifici,Forskere,Vedeckí pracovníci
328 Road workers,,Cestáři,Employés de voirie,Straßenbauarbeiter,Operai stradali,Veiarbeidere,Cestári
329 Roadies,,Roadies,Machinistes itinérants,Roadies,N/A,Roadier,N/A
330 Romantic novelists,,Spisovatelé červené,Écrivains de romans,Autoren von Liebesromanen,Scrittori di romanzi rosa,Forfattere av,Spisovatelia červenej
,,knihovny,à l’eau de rose,,,kjærlighetsromaner,knižnice
331 Roofers,,Pokrývači,Couvreurs,Dachdecker,Lattonieri,Taktekkere,Pokrývači
332 Rubbish collectors,,Popeláři,Éboueurs,Müllleute,Netturbini,Søppeltømmere,Smetiari
333 Runners,,Běžci,Coureurs,Läufer,Corridori,Løpere,Bežci
334 Sailors,,Námořníci,Marins,Segler,Marinai,Seilere,Námorníci
335 Sales assistants,,see “Salespersons”,Assistants de vente,Verkaufsassistenten,Commessi,Salgsassistenter,Obchodní referenti
336 Salespersons,,Prodavači,Vendeurs,Verkäufer,Addetti alle vendite,Selgere,Predavači
337 Schoolchildren,,Žáci,Élèves,Schulkinder,Scolari,Elever,Žiaci
338 Screenwriters,,Scénaristé,Scénaristes,Drehbuchautoren,Sceneggiatori,Manusforfattere,Scenáristi
339 Scuba divers,,Potápěči,Plongeurs,Sporttaucher,Sommozzatori,Dykkere,Potápači
340 Sculptors,,Sochaři,Sculpteurs,Bildhauer,Scultori,Skulptører,Sochári
341 Secretaries,,Sekretáři,Secrétaires,Sekretäre,Segretari,Sekretærer,Sekretári
342 Serial killers,,Sérioví vrazi,Tueurs en série,Serienmörder,Pluriomicidi,Seriemordere,Sérioví vrahovia
343 Sheriffs,,Šerifové,Shérifs,Sheriffs,Sceriffi,Sheriffer,Šerifovia
344 Shoemakers,,Obuvníci,Cordonniers,Schuhmacher,Calzolai,Skomakere,Obuvníci
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
345 Shoplifters,,see “Thieves”,Voleurs à l’étalage,Ladendiebe,Taccheggiatori,Butikktyver,see “Thieves”
346 Shoppers,,Zákazníci,Clients de magasin,Käufer,Compratori,Shoppere,Zákazníci
347 Singers,,Zpěváci,Chanteurs,Sänger,Cantanti,Sangere,Speváci
348 Single parents,,Samoživitelé,Parents célibataires,Alleinerziehende,Ragazzi padri,Aleneforeldre,Samoživitelia
349 Skiers,,Lyžaři,Skieurs,Skiläufer,Sciatori,Skiløpere,Lyžiari
350 Smugglers,,Pašeráci,Contrebandiers,Schmuggler,Contrabbandieri,Smuglere,Pašeráci
351 Snooker players,,Hráči kulečníku,Joueurs de billard,Snookerspieler,Giocatori di biliardo,Snookerspillere,Hráči biliardu
352 Social workers,,Sociální pracovníci,Assistants sociaux,Sozialarbeiter,Assistenti sociali,Sosialarbeidere,Sociálni pracovníci
353 Socialites,,Prominenti,Mondains,N/A,Persone di mondo,N/A,Prominenti
354 Solarium users,,Klienti solária,Utilisateurs de solarium,Solariumnutzer,Ultilizzatori di solarium,Solariumbrukere,Klienti solária
355 Soldiers,,Vojáci,Soldats,Soldaten,Soldati,Soldater,Vojaci
356 Sound engineers,,Zvukaři,Ingénieurs du son,Toningenieure,Ingegneri del suono,Lydteknikere,Zvukári
357 Spectators,,Diváci,Spectateurs,Zuschauer,Spettatori,Tilskuere,Diváci
358 Speech therapists,,Logopedi,Logopédistes,Logopäden,Logoterapisti,Logopeder,Logopédi
359 Sports coaches,,Trenéři,Entraîneurs,Trainer,Allenatori,Trenere,Tréneri
360 Spies,,Špióni,Espions,Spione,Spie,Spioner,Špióni
361 Statisticians,,Statistici,Statisticiens,Statistiker,Statistici,Statistikere,Štatistici
362 Stockbrokers,,Makléři,Agents de change,Börsenmakler,Operatori di borsa,Børsmeklere,Makléri
363 Strippers,,Striptéři,Stripteaseurs,Stripper,Spogliarellisti,Strippere,Striptéri
364 Structural engineers,,Stavební inženýři,Ingénieurs en génie civil,Bauingenieure,Ingegneri civili,Bygningskonstruktører,Statici
365 Students,,Studenti,Étudiants,Studenten,Studenti,Studenter,Študenti
366 Sunbathers,,Opalující se,Bronzeurs,Sonnenbadende,N/A,N/A,Opaľujúci sa muži
367 Supervisors,,Vedoucí,Superviseurs,Vorgesetzte,Supervisori,Oppsynsmenn,Vedúci
368 Surfers,,Surfaři,Surfeurs,Surfer,Surfisti,Surfere,Surfisti
369 Surgeons,,Chirurgové,Chirurgiens,Chirurgen,Chirurghi,Kirurger,Chirurgovia
370 Suspects,,Podezřelí,Suspects,Tatverdächtige,Indiziati,Mistenkte,Podozrivé osoby
371 Swimmers,,Plavci,Nageurs,Schwimmer,Nuotatori,Svømmere,Plavci
372 Switchboard,,Spojovatelé,Standardistes,N/A,Centralinisti,Sentralbordoperatører,Spojovatelia
operators,,,,,,,
373 Synchronized,,Akvabelové,Nageurs synchronisés,Synchronschwimmer,Atleti di nuoto,Synkronsvømmere,Synchronizovaní
swimmers,,,,,sincronizzato,,plavci
374 Systems analysts,,Systémoví analytici,Analystes systèmes,Systemanalytiker,Analisti di sistema,Systemanalytikere,Systémoví analytici
,,,informatiques,,,,
375 Tailors,,0/krejčí,Tailleurs,Schneider,Sarti,Skreddere,Krajčíri
376 Tap dancers,,Stepaři,Danseur de claquettes,Stepptänzer,Ballerini di tip tap,Steppere,Stepári
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
377 Tarot card readers,,Vykladači tarotu,Tireurs de cartes,Tarot-Kartenleger,Cartomanti,Spåmenn,Vykladači tarotových
,,,,,,,kariet
378 Tattooists,,Tatéři,Tatoueurs,Tätowierer,Tatuatori,Tatovører,Tatéri
379 Tax advisors,,Daňoví poradci,Conseillers fiscaux,Steuerberater,Consulenti fiscali,Skatterådgivere,Daňoví poradcovia
380 Taxi drivers,,Taxikáři,Conducteurs de taxi,Taxifahrer,Tassisti,Drosjesjåfører,Taxikári
381 Taxidermists,,Preparátoři,Taxidermistes,Präparatoren,Imbalsamatori,Utstoppere,Preparátori
382 Technicians,,Technici,Techniciens,Techniker,see “Technologists”,Teknikere,Technici
383 Technologists,,Technologové,Technologues,Technologen,Tecnici,Teknologer,Technológovia
384 Teenagers,,Teenageři,Adolescents,Teenager,Adolescenti,Tenåringer,Adolescenti
385 Telephone operators,,Telefonní operátoři,Opérateurs téléphoniques,Telefonisten,Telefonisti,Telefonoperatører,Telefonickí operátori
386 Tennis players,,Tenisti,Joueurs de tennis,Tennisspieler,Tennisti,Tennisspillere,Tenisti
387 Terrorists,,Teroristi,Terroristes,Terroristen,Terroristi,Terrorister,Teroristi
388 Theatre directors,,Ředitelé divadel,Directeurs de théâtre,Theaterdirektoren,Registi teatrali,Teaterregissører,Riaditelia divadiel
389 Thieves,,Zloději,Voleurs,Diebe,Ladri,Tyver,Zlodeji
390 Ticket inspectors,,Kontroloři,Contrôleurs,Controller,Controllori,Kontrollører,Kontrolóri
391 Toddlers,,Batolata,Nourrissons,Kleinkinder,Bimbi ai primi passi,Smårollinger,Batoľatá
392 Toolmakers,,Nástrojáři,Outilleurs,Werkzeugmacher,Attrezzisti,Verktøymakere,Nástrojári
393 Tour guides,,Průvodci,Guides touristiques,Reiseleiter,Guide turistiche,Reiseledere,Sprievodcovia v
,,,,,,,cestovnom ruchu
394 Trade unionists,,Odboráři,Syndicalistes,Gewerkschafter,Sindacalisti,Fagforeningsmedlemmer,Odborári
395 Traffic engineers,,Dopravní inženýři,Gestionnaires du trafic,Verkehrsingenieure,Ingegneri del traffico,Trafikkingeniører,Dopravní inžinieri
396 Train conductors,,Průvodčí,Conducteurs de train,Zugschaffner,Conducenti di treno,Togførere,Sprievodcovia
397 Translators,,Překladatelé,Traducteurs,Übersetzer,Traduttori,Oversettere,Prekladatelia
398 Travel agents,,Zaměstnanci cestovní,Agents de voyage,Reisekaufleute,Agenti di viaggio,Reisebyråagenter,Zamestnanci cestovnej
,,kanceláře,,,,,kancelárie
399 Trumpet players,,Trumpetisté,Joueurs de trompette,Trompeter,Trombettisti,Trompetister,Trubkári
400 Tuba players,,Hráči na tubu,Joueurs de tuba,Tubaspieler,Suonatori di tuba,Tubaspillere,Hráči na tube
401 Typists,,Písaři na stroji,Dactylos,Schreibkräfte,Dattilografi,N/A,Pisári na stroji
402 Tyre fitters,,Pracovníci pneuservisu,Techniciens du pneu,Reifenwechsler,Gommisti,N/A,Pracovníci
,,,,,,,pneuservisu
403 Undertakers,,Zaměstnanci pohřebního,Croque-morts,Bestatter,Becchini,Gravferdskonsulenter,Podnikatelia
,,ústavu,,,,,
404 Vets,,Veterináři,Vétérinaires,Tierärzte,Veterinari,Dyrleger,Veterinári
405 Vice chancellors,,Vícekancléři,Vice chanceliers,Vizekanzler,Vicecancellieri,N/A,Vicekancelári
406 Victims,,Oběti (ženy),Victimes homme,Opfer,Vittime,Ofre,Obete
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
407 Violinists,,Houslisté,Violonistes,Geiger,Violinisti,Fiolinister,Huslisti
408 Waiters,,Číšníci,Serveurs,Kellner,Camerieri,Servitører,Čašníci
409 Wardens,,Správci,Gardiens,Aufseher,Guardiani,Voktere,Správcovia
410 Weavers,,Tkalci,Tisserands,Weber,Tessitori,Vevere,Tkáči
411 Wedding planners,,Organizátoři svateb,Organisateurs de,Hochzeitsplaner,Organizzatori di matrimonio,Bryllupsplanleggere,Organizátori svatieb
,,,mariages,,,,
412 Weight lifters,,Vzpěrači,Haltérophiles,Gewichtheber,Sollevatori pesi,Vektløftere,Vzpierači
413 Welders,,Svářeči,Soudeurs,Schweißer,Saldatori,Sveisere,Zvárači
414 Wine connoisseurs,,Znalci vína,Amateurs de vin,Weinkenner,Intenditori di vino,Vinkjennere,Znalci vína
415 Wood carvers,,Řezbáři,Sculpteurs sur bois,Holzschnitzer,Intagliatori,Treskjærere,Rezbári
416 Wood workers,,Dřevaři,Ébénistes,Holzbearbeiter,Falegnami,Tømrere,Drevári
417 Workers,,Pracovníci,Ouvriers,Arbeiter,Operai,Arbeidere,Pracovníci
418 Wrestlers,,Zápasníci,Catcheurs,Ringer,Lottatori di wrestling,Brytere,Zápasníci
419 Writers,,Spisovatelé,Écrivains,Schriftsteller,Scrittori,Skribenter,Spisovatelia
420 X-ray technicians,,Rentgenologové,Radiographes,Röntgentechniker,Radiologi,Røntgenteknikere,Röntgenológovia
421 Youngsters,,Nezletilí,Jeunes garçons,Jugendliche,Giovincelli,Ungdommer,Mládež
422 Zoologists,,Zoologové,Zoologistes,Zoologen,Zoologi,Zoologer,Zoológovia
