domain,cat_id,cat_label,stim_id,stim_name
Reason - Emotions,X,Reason,S7,pragmatic
Rebellious - Conforming,Y,Conforming,S1,follow
Rebellious - Conforming,Y,Conforming,S2,obey
Rebellious - Conforming,Y,Conforming,S3,yield
Rebellious - Conforming,Y,Conforming,S4,comply
Rebellious - Conforming,Y,Conforming,S5,abide
Rebellious - Conforming,X,Rebellious,S1,question
Rebellious - Conforming,X,Rebellious,S2,challenge
Rebellious - Conforming,X,Rebellious,S3,defy
Rebellious - Conforming,X,Rebellious,S4,disobey
Rebellious - Conforming,X,Rebellious,S5,resist
Receiving - Giving,Y,Giving,S1,bestowing
Receiving - Giving,Y,Giving,S2,donating
Receiving - Giving,Y,Giving,S3,endowing
Receiving - Giving,Y,Giving,S4,awarding
Receiving - Giving,Y,Giving,S5,providing
Receiving - Giving,X,Receiving,S1,accepting
Receiving - Giving,X,Receiving,S2,acquiring
Receiving - Giving,X,Receiving,S3,gaining
Receiving - Giving,X,Receiving,S4,obtaining
Receiving - Giving,X,Receiving,S5,procuring
Rich People - Beautiful People,Y,Beautiful People,S1,handsome
Rich People - Beautiful People,Y,Beautiful People,S2,gorgeous
Rich People - Beautiful People,Y,Beautiful People,S3,stunning
Rich People - Beautiful People,Y,Beautiful People,S4,attractive
Rich People - Beautiful People,X,Rich People,S1,wealthy
Rich People - Beautiful People,X,Rich People,S2,well-off
Rich People - Beautiful People,X,Rich People,S3,prosperous
Rich People - Beautiful People,X,Rich People,S4,affluent
Security - Freedom,Y,Freedom,S1,free
Security - Freedom,Y,Freedom,S2,unregulated
Security - Freedom,Y,Freedom,S3,liberty
Security - Freedom,Y,Freedom,S4,independent
Security - Freedom,X,Security,S1,safe
Security - Freedom,X,Security,S2,secure
Security - Freedom,X,Security,S3,controlled
Security - Freedom,X,Security,S4,protected
Single - Married,Y,Married,S1,together
Single - Married,Y,Married,S2,joined
Single - Married,Y,Married,S3,couple
Single - Married,Y,Married,S4,wedded
Single - Married,Y,Married,S5,committed
Single - Married,Y,Married,S6,hitched
Single - Married,X,Single,S1,solitary
Single - Married,X,Single,S2,independent
Single - Married,X,Single,S3,autonomous
Single - Married,X,Single,S4,unmarried
Single - Married,X,Single,S5,unattached
Single - Married,X,Single,S6,individual
Skeptical - Trusting,X,Skeptical,S1,questioning
Skeptical - Trusting,X,Skeptical,S2,hesitant
Skeptical - Trusting,X,Skeptical,S3,wary
Skeptical - Trusting,X,Skeptical,S4,doubtful
Skeptical - Trusting,Y,Trusting,S1,convinced
Skeptical - Trusting,Y,Trusting,S2,confident
Skeptical - Trusting,Y,Trusting,S3,accepting
Skeptical - Trusting,Y,Trusting,S4,believing
Solitude - Companionship,Y,Companionship,S1,accompaniment
Solitude - Companionship,Y,Companionship,S2,comraderie
Solitude - Companionship,Y,Companionship,S3,company
Solitude - Companionship,Y,Companionship,S4,fellowship
Solitude - Companionship,Y,Companionship,S5,togetherness
Solitude - Companionship,Y,Companionship,S6,relationship
Solitude - Companionship,X,Solitude,S1,alone
Solitude - Companionship,X,Solitude,S2,unattached
Solitude - Companionship,X,Solitude,S3,independent
Solitude - Companionship,X,Solitude,S4,solo
Solitude - Companionship,X,Solitude,S5,individual
Solitude - Companionship,X,Solitude,S6,autonomous
Speed - Accuracy,Y,Accuracy,S1,correct
Speed - Accuracy,Y,Accuracy,S2,accurate
Speed - Accuracy,Y,Accuracy,S3,precise
Speed - Accuracy,Y,Accuracy,S4,valid
Speed - Accuracy,Y,Accuracy,S5,exact
Speed - Accuracy,X,Speed,S1,fast
Speed - Accuracy,X,Speed,S2,swift
Speed - Accuracy,X,Speed,S3,rapid
Speed - Accuracy,X,Speed,S4,quick
Speed - Accuracy,X,Speed,S5,speedy
Stable - Flexible,Y,Flexible,S1,shifting
Stable - Flexible,Y,Flexible,S2,new
Stable - Flexible,Y,Flexible,S3,different
Stable - Flexible,Y,Flexible,S4,variable
Stable - Flexible,Y,Flexible,S5,changing
Stable - Flexible,Y,Flexible,S6,novelty
Stable - Flexible,Y,Flexible,S7,fluctuate
Stable - Flexible,X,Stable,S1,same
Stable - Flexible,X,Stable,S2,familiar
Stable - Flexible,X,Stable,S3,unchanging
Stable - Flexible,X,Stable,S4,steady
Stable - Flexible,X,Stable,S5,fixed
Stable - Flexible,X,Stable,S6,enduring
Stable - Flexible,X,Stable,S7,permanent
State - Church,Y,Church,S1,religion
State - Church,Y,Church,S2,spirituality
State - Church,Y,Church,S3,faith
State - Church,Y,Church,S4,scripture
State - Church,X,State,S1,government
State - Church,X,State,S2,republic
State - Church,X,State,S3,nation
State - Church,X,State,S4,constitution
Strong - Sensitive,Y,Sensitive,S1,perceptive
