,Czech,English,French,German,Italian,Norwegian,Slovak
Leaders,“Supervisors”,.36 141,.27 31,.37 31,.3 394,.33 31 (.1),“Supervisors”
Librarians,.78 37 (.19),.67 139,.67 32,.65 34,.63 404,.7 31 (.15),.76 30 (.14)
Lieutenants,.29 40 (.21),.25 139,.13 31,.2 35,.24 391,.2 30 (.09),.17 29 (.17)
Lifeguards,.41 34 (.14),.38 139,.31 31,.38 32,.31 396,.41 30 (.11),.29 31 (.15)
Lighthouse keepers,.19 36 (.17),.27 137,.22 33,.21 36,.17 403,.24 31 (.15),.13 31 (.12)
Lodgers,.49 35 (.09),.42 141,.46 31,.52 37,.51 394,.49 29 (.07),.49 30 (.14)
Lorry drivers,.09 36 (.12),.19 141,.18 32,.15 37,.15 404,.19 30 (.09),.07 30 (.08)
Magicians,.21 38 (.13),.27 142,.29 31,.3 34,.28 404,.24 29 (.14),.2 31 (.15)
Magician’s assistants,.85 35 (.17),.78 142,.82 37,.8 39,.78 409,N/A,.88 30 (.2)
Make up artists,.64 35 (.2),.78 140,.77 37,.81 31,.73 393,N/A,.73 29 (.18)
Managers,.36 34 (.13),.41 140,.35 36,.28 38,.35 397,.31 30 (.14),.35 32 (.15)
Manicurists,.88 37 (.15),.84 140,.9 32,.9 37,.89 402,.88 33 (.08),.88 30 (.13)
Mathematicians,.27 38 (.15),.32 138,.22 32,.28 31,.37 407,.31 32 (.14),.27 32 (.15)
Mayors,.35 34 (.11),.31 140,.27 35,.28 34,.28 408,.32 29 (.12),.29 28 (.12)
Mechanics,.13 38 (.09),.2 137,.2 30,.23 38,.12 385,.19 29 (.12),.08 29 (.1)
Medical doctors,.47 37 (.06),.4 140,.39 32,.43 31,.45 397,“Physicians”,.49 29 (.14)
Members of the armed forces,.15 39 (.15),.24 139,.12 28,.21 35,.2 389,“Soldiers”,.1 30 (.09)
Members of parliament,.22 37 (.12),.28 140,.34 33,.32 37,.25 402,.37 30 (.13),.2 31 (.1)
Metallurgists,.07 37 (.08),.4 139,.21 32,.28 34,.18 391,.33 30 (.14),.15 30 (.16)
Meteorologists,.52 39 (.2),.37 140,.4 33,.36 35,.35 406,.55 31 (.19),.31 28 (.17)
Millionaires,.23 37 (.18),.34 143,.26 34,.32 39,.29 396,.29 31 (.12),.21 31 (.11)
Miners,.03 33 (.06),.16 138,.23 35,.13 35,.1 397,.12 29 (.1),.04 28 (.06)
Models,.8 36 (.14),.64 139,.65 35,.7 38,.65 399,.74 30 (.14),.73 30 (.14)
Mountain climbers,.28 35 (.15),.33 142,.32 31,.31 37,.29 399,.33 30 (.13),.23 32 (.15)
Murderers,.26 34 (.16),.28 137,.3 30,.28 33,.31 404,.18 33 (.09),.21 31 (.12)
Musicians,.45 36 (.14),.47 138,.47 34,.5 36,.45 398,.45 30 (.11),.38 31 (.11)
Nannies,N/A,.82 139,N/A,N/A,N/A,.79 31 (.12),.86 30 (.19)
Neighbours,.49 37 (.1),.52 140,.51 33,.5 36,.52 407,.49 31 (.02),.55 30 (.17)
Neurologists,.4 36 (.16),.42 143,.32 33,.41 38,.41 404,.37 33 (.16),.38 31 (.19)
Neurosurgeons,.32 38 (.15),.34 143,.28 32,.38 33,.32 396,.29 31 (.14),.31 30 (.16)
News readers,.57 36 (.17),.49 141,.56 34,.51 34,.65 405,.52 29 (.12),.54 29 (.11)
Novelists,.41 36 (.15),.54 139,.52 36,.58 33,.49 411,.57 31 (.15),.44 30 (.14)
Nurses,.86 38 (.15),.74 140,.72 33,.65 35,.67 408,.78 31 (.13),.9 31 (.1)
Nursery teachers,.91 38 (.13),.8 143,.78 30,.81 35,.88 399,.79 31 (.11),.92 30 (.08)
Nutritionists,.73 37 (.12),.66 139,.74 33,.67 37,.66 402,.69 30 (.15),.6 29 (.22)
Occupational therapists,.5 37 (.19),.61 138,.62 33,.67 36,.55 404,.66 30 (.14),.53 30 (.21)
Oceanographers,.34 36 (.15),.47 141,.4 30,.48 34,.46 404,.45 33 (.14),.31 32 (.17)
Office workers,.71 37 (.16),.51 141,.55 33,.61 34,.6 401,.58 28 (.13),.78 29 (.13)
Orchestra conductors,.21 35 (.15),.31 144,.2 34,.27 34,.21 406,.35 31 (.16),.16 29 (.12)
Orthodontists,.47 34 (.14),.43 140,.42 30,.42 34,.42 399,.4 26 (.14),.43 29 (.17)
Palm readers,.89 40,.77 143,.59 33,.75 34,.75 408,.75 27 (.15),.9 30
Parachutists,.3 33,.36 141,.33 33,.33 35,.32 402,.31 27 (.13),.22 30
Parents,.57 37,.52 140,.5 34,.54 33,.53 411,.52 30 (.05),.54 31
Pastry chefs,.72 35,.5 140,.41 32,.53 35,.49 400,.54 31 (.17),.77 28
Patients,.49 40,.52 140,.5 31,.51 34,.5 404,.55 28 (.07),.49 30
Pawnbrokers,.26 39,.31 141,.28 35,.34 34,.35 405,.26 30 (.16),.43 28
Pedestrians,.49 39,.53 143,.52 33,.52 37,.53 399,.52 29 (.05),.5 30
Pediatricians,.61 37,.52 141,.51 37,.58 37,.58 401,.5 29 (.14),.72 30
Pensioners,.51 35,.52 141,.55 33,.57 33,.53 406,.57 31 (.09),.6 31
Persons,.55 36,.5 142,.53 29,.53 32,.55 390,.49 29 (.05),.55 30
Personal trainers,.38 37,.39 142,.34 30,.46 35,.37 408,.42 34 (.12),.33 31
Pharmacists,.61 37,.53 139,.58 35,.61 33,.62 398,.75 27 (.16),.68 30
Philanthropists,.37 36,.48 142,.41 31,.51 37,.47 394,.44 31 (.17),.39 31
Photographers,.44 33,.46 141,.45 31,.5 39,.45 399,.51 30 (.13),.41 28
Physicians,.46 34,.37 142,.36 34,.48 36,.45 412,.41 28 (.11),.47 29
Physicists,.23 33,.32 141,.25 35,.26 36,.31 402,.3 31 (.11),.18 31
Physics students,.23 37,.28 140,.23 35,.23 37,.33 405,.3 28 (.13),.19 30
Physiotherapists,.59 41,.51 141,.51 30,.58 34,.49 406,.6 31 (.11),.54 30
Piano players,.45 36,.51 141,.49 32,.49 37,.42 399,.47 27 (.1),.45 30
Pilots,.14 35,.24 141,.24 33,.23 35,.2 405,.19 29 (.12),.1 28
Playgroup leaders,.71 40,.77 139,.79 34,.8 37,.32 399,N/A,.84 31
Plumbers,.09 33,.21 141,.15 35,.18 36,.13 397,.14 29 (.1),.08 30
Poets,.34 38,.45 141,.39 31,.38 36,.42 401,.49 29 (.1),.34 29
Police inspectors,.4 34,.34 144,.31 35,.33 35,.35 409,.39 33 (.13),.31 30
Police officers,.29 36,.36 140,.28 35,.35 33,.34 386,.34 28 (.16),.2 30
Police sergeants,.23 37,.3 141,.25 32,.29 34,.26 387,.29 29 (.13),.16 30
Political activists,.39 37,.46 141,.4 34,.46 37,.4 396,.56 29 (.14),.29 30
Politicians,.23 33,.29 139,.31 35,.33 34,.25 405,.42 28 (.11),.2 30
Porters,.33 38,.27 138,.19 33,.17 38,.18 404,.24 30 (.12),.22 31
Postal workers,.73 35,.34 141,.53 32,.49 36,.62 409,.43 31 (.16),.72 29
Postmen,.69 38,.25 139,.37 36,.45 37,.46 392,.4 30 (.12),.63 30
Presidents,.12 36,.16 141,.15 36,.17 33,.24 408,.13 27 (.1),.1 29
Priests,.14 36,.16 142,.06 32,.18 33,N/A,.36 28 (.17),.07 29
Primary school teachers,.79 36,.75 142,.72 28,.79 37,.8 401,.76 30 (.09),.82 30
Prison guards,.24 38,.26 140,.19 34,N/A,.28 407,.25 32 (.11),.18 28
Prisoners,.29 34,.3 138,.31 34,.32 33,.32 400,.21 29 (.12),.25 30
Private detectives,N/A,.31 142,.28 32,.3 36,.27 404,.26 28 (.12),.13 30
Probation officers,.59 35,.37 141,.38 32,.45 35,.21 416,.37 27 (.18),.71 30
Professional athletes,.45 35,.42 143,.4 33,.41 35,.45 394,.43 32 (.12),.38 28
Professors,.48 39,.38 142,.46 33,.38 31,.59 396,.37 30 (.15),.51 32
Projectionists,.27 38,.44 139,.33 31,.4 36,.39 405,.32 27 (.14),.28 31
Proofreaders,.56 38,.53 141,.56 32,.62 38,.53 405,.6 28 (.14),.55 31
Prostitutes,.85 34,.81 141,.87 35,.75 31,.83 387,.83 30 (.13),.86 30
Protestors,.42 35,.49 139,.47 36,.47 37,.49 396,.46 29 (.09),.33 29
Psychiatrists,.42 34,.55 141,.48 33,.51 37,.53 387,.49 28 (.21),.47 28
Psychology students,.66 36,.76 138,.76 34,.64 34,.69 405,.74 29 (.1),.79 30
Publishers,.35 37,.47 138,.37 32,.44 33,.41 394,.45 30 (.14),.4 31
Racing car drivers,.15 37 (.13),.19 140,.16 34,.2 36,.13 405,.15 31 (.12),.07 30
Radio announcers,.53 33 (.16),.43 141,.41 31,.45 33,.48 393,.49 31 (.08),.65 31
Radio technicians,.23 36 (.15),.34 138,.29 34,.28 39,.32 404,.29 30 (.09),.21 28
Rape victims,.93 32 (.07),.82 140,.86 34,.82 37,.88 400,.86 30 (.09),.89 30
Rapists,.14 34 (.1),.15 139,.12 31,.17 34,.11 402,.1 31 (.09),.14 28
Receptionists,.76 36 (.24),.75 142,.74 35,.69 34,.67 410,.71 31 (.11),.78 30
Relatives,.5 36 (.13),.5 141,.53 31,.55 35,.53 404,.5 28 (.1),.55 31
Reporters,.52 36 (.08),.51 141,.46 31,.5 35,.37 402,.5 33 (.1),.53 31
Rescue workers,.29 35 (.16),.36 141,.4 32,.37 35,.43 402,.26 29 (.15),.3 30
Research scientists,.36 39 (.15),.42 143,.38 30,.42 38,.46 403,.42 33 (.1),.38 28
Road workers,.17 39 (.22),.19 143,.27 29,.15 36,.14 397,.17 32 (.09),.06 30
Roadies,.38 35 (.17),.38 137,.22 34,.3 35,N/A,.46 28 (.2),N/A
Romantic novelists,.77 37 (.21),.71 140,.7 32,.7 32,.73 393,.74 32 (.13),.56 31
Roofers,.09 37 (.16),.19 140,.2 34,.16 34,.22 399,.17 31 (.14),.09 30
Rubbish collectors,.06 41 (.1),.18 142,.14 30,.16 37,.27 409,.17 29 (.11),.06 29
Runners,.45 34 (.14),.46 138,.45 35,.46 36,.41 400,.42 27 (.14),.43 29
Sailors,.09 35 (.08),.27 142,.16 32,.36 32,.16 391,.34 30 (.14),.13 30
Sales assistants,“Salespersons”,.64 143,.55 31,.58 37,.71 399,.6 32 (.16),.44 29
Salespersons,.76 35 (.15),.49 140,.65 32,.69 36,.57 404,.43 31 (.16),.7 28
Schoolchildrens,.54 36 (.09),.5 141,.53 35,.53 35,.53 393,.51 30 (.07),.56 30
Screenwriters,.41 38 (.16),.4 138,.31 35,.39 35,.43 397,.43 31 (.1),.31 31
Scuba divers,.3 35 (.13),.41 143,.35 35,.39 36,.3 398,.33 29 (.11),.28 30
Sculptors,.33 39 (.17),.45 141,.4 32,.43 36,.39 393,.46 29 (.13),.29 30
Secretaries,.88 34 (.11),.75 141,.82 33,.8 35,.78 397,.75 29 (.1),.87 31
Serial killers,.18 36 (.15),.23 143,.25 34,.23 36,.26 400,.15 28 (.11),.16 30
Sheriffs,.12 35 (.11),.23 141,.19 31,.23 39,.19 397,.22 30 (.14),.15 32
Shoemakers,.4 36 (.25),.34 138,.25 32,.29 34,.23 393,.29 31 (.14),.22 31
Shoplifters,“Thieves”,.46 139,.42 33,.39 34,.35 407,.41 31 (.19),“Thieves”
Shoppers,.59 36 (.13),.7 141,.65 33,.59 35,.57 394,.76 32 (.1),.56 27
Singers,.57 35 (.12),.57 142,.58 34,.54 35,.52 399,.59 32 (.14),.55 31
Single parents,.75 34 (.21),.76 140,.59 34,.76 39,.77 390,.76 29 (.13),.48 30
Skiers,.48 35 (.09),.44 141,.43 33,.41 34,.44 396,.45 34 (.08),.42 31
Smugglers,.23 36 (.14),.32 142,.23 34,.29 36,.22 412,.23 31 (.15),.14 28
Snooker players,.24 35 (.13),.2 139,.23 32,.3 37,.24 397,.28 31 (.15),.21 30
Social workers,.83 38 (.1),.7 139,.69 30,.61 35,.72 401,.7 29 (.13),.83 30
Socialites,.44 35 (.19),.63 140,.52 33,N/A,.47 396,N/A,.46 29
Solarium users,.76 33 (.14),.55 141,.77 30,.69 33,.65 400,.71 31 (.15),.8 32
Soldiers,.15 36 (.1),.22 142,.1 34,.18 35,.22 408,.15 31 (.11),.15 31
Sound engineers,.22 37 (.13),.29 138,.26 32,.32 36,.28 411,.24 26 (.1),.18 30
Spectators,.58 35 (.13),.44 139,.51 34,.51 34,.53 395,.49 31 (.07),.53 29
Speech therapists,.71 35 (.16),.65 141,.66 36,.68 36,.66 404,.59 32 (.16),.77 31
Sports coachs,.39 37 (.14),.33 141,.28 31,.41 37,.36 394,.41 31 (.15),.36 30
Spies,.23 37 (.15),.38 141,.29 34,.32 35,.39 402,.32 31 (.15),.3 28
Statisticians,.3 36 (.15),.32 140,.32 33,.35 35,.37 396,.38 30 (.14),.39 30
Stockbrokers,.32 39 (.15),.28 141,.4 30,.26 36,.27 394,.25 32 (.11),.37 29
Strippers,.75 36 (.16),.69 138,.79 30,.68 36,.71 400,.81 31 (.18),.76 28
Structural Engineers,.18 33 (.1),.26 140,.27 33,.29 34,.34 403,.23 31 (.12),.23 29
Students,.55 32,.55 140,.58 34,.55 34,.55 395 (.1),.57 29 (.07),.56 30
Sunbathers,.8 36,.68 143,.6 32,.64 38,N/A,N/A,.79 31
Supervisors,.34 37,.45 141,.39 27,.34 35,.37 411 (.16),.32 29 (.13),.36 32
Surfers,.33 36,.36 142,.35 31,.35 36,.32 404 (.15),.3 28 (.11),.23 30
Surgeons,.31 37,.33 141,.3 31,.29 35,.33 393 (.14),.3 30 (.12),.3 28
Suspects,.34 36,.36 139,.36 34,.33 36,.37 402 (.14),.26 27 (.11),.3 31
Swimmers,.46 37,.49 139,.44 31,.47 31,.47 407 (.1),.45 31 (.09),.42 32
Switchboard operators,.58 34,.52 142,.56 34,N/A,.69 401 (.16),.7 29 (.16),.7 30
Synchronized swimmers,.9 38,.73 139,.69 31,.68 36,.79 402 (.21),.78 31 (.15),.84 31
Systems analysts,.24 35,.33 141,.23 30,.31 35,.36 396 (.16),.36 32 (.14),.17 30
Tailors,.66 38,.32 141,.46 33,.71 37,.75 404 (.17),.49 28 (.2),.84 31
Tap dancers,.54 37,.64 138,.56 33,.55 36,.5 405 (.18),.59 30 (.19),.44 31
Tarot card readers,.82 33,.73 145,.59 35,.74 37,.77 402 (.18),.79 27 (.15),.92 31
Tattooists,.3 37,.36 142,.29 31,.35 37,.36 396 (.15),.3 29 (.12),.2 30
Tax advisors,.45 36,.34 141,.33 34,.44 34,.38 400 (.15),.44 32 (.15),.41 30
Taxi drivers,.18 38,.2 140,.18 33,.24 36,.21 393 (.13),.22 29 (.1),.15 31
Taxidermists,.31 36,.35 140,.3 32,.4 35,.3 404 (.18),.26 28 (.13),.34 29
Technicians,.21 36,.35 140,.3 31,.27 34,“Technologists”,.27 31 (.13),.17 31
Technologists,.22 37,.34 140,.33 35,.31 38,.31 392 (.15),.33 29 (.1),.19 32
Teenagers,.53 35,.52 141,.52 32,.53 32,.53 397 (.09),.5 30 (.02),.52 30
Telephone operators,.63 32,.56 140,.55 34,.68 32,.63 399 (.18),.5 31 (.17),.65 30
Tennis players,.48 40,.47 143,.44 32,.49 34,.47 388 (.12),.49 29 (.13),.46 32
Terrorists,.13 37,.19 140,.19 31,.21 35,.22 409 (.16),.16 29 (.13),.12 31
Theatre directors,.34 38,.43 142,.42 29,.36 35,.37 394 (.15),.4 31 (.17),.31 28
Thieves,.3 40,.35 140,.34 31,.38 34,.3 406 (.16),.26 30 (.15),.29 30
Ticket inspectors,.37 38,.29 141,.3 34,.33 38,.3 408 (.15),.39 27 (.14),.43 31
Toddlers,.52 36,.5 141,.58 36,.54 38,.53 388 (.12),.52 32 (.09),.55 32
Toolmakers,.18 30,.24 141,.21 31,.18 34,.29 394 (.18),.2 32 (.12),.22 31
Tour guides,.67 35,.49 144,.44 36,.57 32,.63 394 (.15),.64 29 (.12),.65 30
Trade unionists,.32 36,.4 142,.42 31,.43 33,.39 403 (.15),.51 27 (.1),.3 31
Traffic engineers,.23 38,.26 142,.31 32,.29 33,.3 396 (.16),.32 32 (.11),.22 30
Train conductors,.5 35,.25 141,.19 32,.38 38,.21 406 (.15),.26 28 (.14),.61 30
Translators,.6 35,.57 140,.61 34,.64 34,.65 393 (.16),.56 30 (.12),.61 32
Travel agents,.65 36,.58 141,.59 31,.58 37,.58 391 (.16),.7 30 (.15),.74 30
Trumpet players,.29 34,.37 144,.33 32,.35 33,.33 404 (.17),.34 31 (.15),.25 28
Tuba players,.31 34,.43 139,.29 33,.41 34,.37 404 (.17),.32 30 (.15),.33 32
Typists,.68 35,.64 142,.65 32,.7 37,.64 398 (.19),N/A,.68 31
Tyre fitters,.09 35,.21 142,.12 32,.19 33,.11 399 (.13),N/A,.08 30
Undertakers,.24 37,.25 137,.23 34,.31 32,.15 395 (.15),.34 28 (.17),.32 29
Vets,.45 35,.5 143,.49 32,.59 33,.51 391 (.13),.63 29 (.15),.47 31
Vice chancellors,.31 34,.32 138,.29 33,.27 35,.31 391 (.17),N/A,.31 29
Victims,.65 35,.63 140,.67 33,.61 37,.71 400 (.18),.65 31 (.14),.7 28
Violinists,.5 33,.62 142,.56 32,.51 38,.54 395 (.16),.59 29 (.14),.51 30
Waiters,.56 37,.45 139,.64 34,.61 35,.55 393 (.14),.63 30 (.13),.67 32
Wardens,.32 35,.35 139,.27 32,.39 34,.25 398 (.16),.29 30 (.13),.3 30
Weavers,.67 35,.7 141,.62 33,.65 34,.72 402 (.18),.83 29 (.12),.76 32
Wedding planners,.64 35,.78 141,.78 30,.65 34,.73 399 (.16),.85 28 (.1),.64 30
Weight lifters,.21 35,.24 143,.21 31,.22 35,.22 405,.2 30 (.1),.13 32
Welders,.09 35,.23 142,.19 31,.16 33,.13 397,.18 27 (.13),.11 29
Wine connoisseurs,.34 39,.38 143,.41 32,.4 33,.34 391,.37 29 (.14),.22 29
Wood carvers,.22 36,.25 141,.31 30,.3 31,.28 401,.22 29 (.14),.18 30
Wood workers,.1 35,.24 139,.19 34,.24 34,.15 406,.14 29 (.11),.12 28
Workers,.48 36,.42 138,.26 28,.43 33,.38 405,.38 26 (.12),.49 28
Wrestlers,.17 35,.2 140,.2 34,.2 35,.18 394,.2 29 (.18),.16 30
Writers,.45 34,.5 140,.46 32,.49 36,.49 399,.52 33 (.09),.47 32
X-ray technicians,.51 38,.47 137,.4 32,.46 35,.43 399,.49 32 (.21),.46 32
Youngsters,.51 37,.48 140,.55 29,.51 33,.52 397,.5 28 (.02),.54 28
Zoologists,.46 37,.49 142,.48 29,.48 34,.49 403,.52 32 (.15),.39 29
