OCCUPATION,male form,typically_used?,female form,typically_used?_1,language,X7,NOTES,Notes,Status,Name,notes
sailor,zeiler/schipper/matroos,yes/yes/yes,zeilster/schipper/matroos,yes/no/no,dutch,NA,NA,NA,NA,NA,NA
postman/postwoman,postbode,yes,postbode,yes,dutch,NA,NA,NA,NA,NA,NA
mechanic,monteur,yes,monteur,no,dutch,no different word for female one but the word connotates that it's a male.,NA,NA,NA,NA,NA
hunter,jager,yes,jager,no,dutch,NA,NA,NA,NA,NA,NA
firefighter,brandweerman,yes,brandweervrouw,no,dutch,NA,NA,NA,NA,NA,NA
dancer,penari,yes,NA,NA,malay,**Malay does not have different forms for male and female**,NA,NA,NA,NA,NA
nurse,jururawat,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
singer,penyanyi,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
cleaner,pembersih,don't know,NA,NA,malay,NA,NA,NA,NA,NA,NA
secretary,setiausaha,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
waiter,pelayan,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
journalist,wartawan,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
baker,pembakar roti,don't know,NA,NA,malay,NA,NA,NA,NA,NA,NA
author,penulis,don't know,NA,NA,malay,NA,NA,NA,NA,NA,NA
athlete,atlet,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
lawyer,peguam,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
doctor/physician,doktor,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
professor,profesor,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
governor,pemerintah,no,NA,NA,malay,NA,NA,NA,NA,NA,NA
judge,hakim,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
sailor,pelayar,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
postman/postwoman,posmen,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
mechanic,mekanik,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
hunter,pemburu,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
firefighter,ahli bomba,yes,NA,NA,malay,NA,NA,NA,NA,NA,NA
dancer,댄서,yes,댄서,yes,korean,NA,NA,NA,NA,NA,NA
nurse,간호사,yes,간호사,yes,korean,NA,NA,NA,NA,NA,NA
singer,가수,yes,가수,yes,korean,NA,NA,NA,NA,NA,NA
cleaner,청소부,don't know,청소부,don't know,korean,NA,NA,NA,NA,NA,NA
secretary,비서,yes,비서,yes,korean,NA,NA,NA,NA,NA,NA
waiter,종업원,yes,웨이트리스,no,korean,NA,NA,NA,NA,NA,NA
journalist,NA,NA,NA,NA,korean,NA,NA,NA,NA,NA,NA
baker,제빵사,yes,제빵사,yes,korean,NA,NA,NA,NA,NA,NA
author,작가,yes,작가,yes,korean,NA,NA,NA,NA,NA,NA
athlete,선수,yes,선수,yes,korean,NA,NA,NA,NA,NA,NA
lawyer,변호사,yes,변호사,yes,korean,NA,NA,NA,NA,NA,NA
doctor/physician,의사,yes,의사,yes,korean,NA,NA,NA,NA,NA,NA
professor,교수님,yes,교수님,yes,korean,NA,NA,NA,NA,NA,NA
governor,지배자,yes,지배자,yes,korean,NA,NA,NA,NA,NA,NA
judge,판사,yes,판사,yes,korean,NA,NA,NA,NA,NA,NA
sailor,선원,yes,선원,yes,korean,NA,NA,NA,NA,NA,NA
postman/postwoman,우편집배원,yes,우편집배원,yes,korean,NA,NA,NA,NA,NA,NA
mechanic,정비공,yes,정비공,yes,korean,NA,NA,NA,NA,NA,NA
hunter,사냥꾼,yes,사냥꾼,yes,korean,NA,NA,NA,NA,NA,NA
firefighter,소방관,yes,소방관,yes,korean,NA,NA,NA,NA,NA,NA
dancer,danser,yes,danserinne,no,norwegian,NA,NA,NA,NA,NA,NA
nurse,skyepleier/barnepleier,yes,skyepleier/barnepleier,yes,norwegian,"These words are gender neutral, even though it has the male form of the occupational affix.",NA,NA,NA,NA,NA
singer,sanger,yes,sangerinne,no,norwegian,NA,NA,NA,NA,NA,NA
cleaner,hushjelp,yes,hushjelp,yes,norwegian,NA,NA,NA,NA,NA,NA
secretary,sekretær,yes,sekretær,yes,norwegian,NA,NA,NA,NA,NA,NA
waiter,oppvarter/servitør/kelner,yes,oppvartningspike/servitør/kelner,no,norwegian,"""oppvartningspike"" is not used now- has salacious connotations",NA,NA,NA,NA,NA
journalist,journalist,yes,journalist,yes,norwegian,NA,NA,NA,NA,NA,NA
baker,baker,yes,baker,yes,norwegian,NA,NA,NA,NA,NA,NA
author,forfatter/opphavsmann,yes,forfatterinne,no,norwegian,"""opphavsmann"" more accurately means 'copyright holder'",NA,NA,NA,NA,NA
athlete,atlet,yes,atlet,yes,norwegian,NA,NA,NA,NA,NA,NA
lawyer,jurist/sakfører/advokat,yes,jurist/sakfører/advokat,yes,norwegian,NA,NA,NA,NA,NA,NA
doctor/physician,doktor/lege,yes,doktor/lege,yes,norwegian,NA,NA,NA,NA,NA,NA
professor,professor/universitetslærer,yes,professor/universitetslærer,yes,norwegian,NA,NA,NA,NA,NA,NA
governor,guvernør/stattholder,yes,guvernør/stattholder,yes,norwegian,NA,NA,NA,NA,NA,NA
judge,dommer,yes,dommer,yes,norwegian,NA,NA,NA,NA,NA,NA
sailor,sjømann/matros,yes,sjømann/matros,yes,norwegian,NA,NA,NA,NA,NA,NA
postman/postwoman,postbud/postmann,yes,postbud,yes,norwegian,NA,NA,NA,NA,NA,NA
mechanic,mekaniker,yes,mekaniker,yes,norwegian,NA,NA,NA,NA,NA,NA
hunter,jeger,yes,jeger,yes,norwegian,NA,NA,NA,NA,NA,NA
firefighter,brannmann/fyrbøter,yes,fyrbøter,yes,norwegian,NA,NA,NA,NA,NA,NA
dancer,Tańcerz,yes,Tańcerka,yes,polish,NA,NA,NA,NA,NA,NA
nurse,pielęgniarz,no,pielęgniarka,yes,polish,NA,NA,NA,NA,NA,NA
singer,śpiewasz,yes,śpiewarka,yes,polish,NA,NA,NA,NA,NA,NA
cleaner,sprzątacz,no,sprzątarka,yes,polish,NA,NA,NA,NA,NA,NA
secretary,sekretarz,no,sekretarka,yes,polish,NA,NA,NA,NA,NA,NA
waiter,kelner,yes,kelnerka,yes,polish,NA,NA,NA,NA,NA,NA
journalist,dziennikarz,yes,dziennikarka,yes,polish,NA,NA,NA,NA,NA,NA
baker,piekarz,yes,piekarka,no,polish,NA,NA,NA,NA,NA,NA
author,pisarz,yes,pisarka,yes,polish,NA,NA,NA,NA,NA,NA
athlete,atleta,yes,atletka,yes,polish,NA,NA,NA,NA,NA,NA
lawyer,prawnik,yes,prawniczka,no,polish,NA,NA,NA,NA,NA,NA
doctor/physician,doktor,yes,doktorka,yes,polish,NA,NA,NA,NA,NA,NA
professor,profesor,yes,profesorka,yes,polish,NA,NA,NA,NA,NA,NA
governor,wojewoda,yes,wojewoda,no,polish,NA,NA,NA,NA,NA,NA
judge,sędzia,yes,sędzina,no,polish,NA,NA,NA,NA,NA,NA
sailor,żeglarz,yes,żeglarka,yes,polish,NA,NA,NA,NA,NA,NA
postman/postwoman,listonosz,yes,listonoszka,no,polish,NA,NA,NA,NA,NA,NA
mechanic,mechanik,yes,mechanik,yes,polish,NA,NA,NA,NA,NA,NA
hunter,myśliwy,yes,myśliwy,yes,polish,NA,NA,NA,NA,NA,NA
firefighter,strażak,yes,strażak,yes,polish,NA,NA,NA,NA,NA,NA
dancer,dançarino,yes,dançarina,yes,portuguese,NA,NA,NA,Done,Ricardo B Lourenço (Brazilian portuguese native speaker),NA
nurse,enfermeiro,yes,enfermeira,yes,portuguese,NA,NA,NA,"Notes: Mecânica has also a homonym for the shop where mechanics work; Carteira has a homonym which stands for small desks which students use at school, as well for someone's wallet .",NA,NA
singer,cantor,yes,cantora,yes,portuguese,NA,NA,NA,NA,NA,NA
cleaner,faxineiro,yes,faxineira,yes,portuguese,NA,NA,NA,NA,NA,NA
secretary,secretário,yes,secretária,yes,portuguese,NA,NA,NA,NA,NA,NA
waiter,garçom,yes,garçonete,yes,portuguese,NA,NA,NA,NA,NA,NA
journalist,jornalista,yes,jornalista,yes,portuguese,NA,NA,NA,NA,NA,NA
baker,padeiro,yes,padeira,no,portuguese,NA,NA,NA,NA,NA,NA
author,autor,yes,autora,yes,portuguese,NA,NA,NA,NA,NA,NA
athlete,atleta,yes,atleta,yes,portuguese,NA,NA,NA,NA,NA,NA
lawyer,advogado,yes,advogada,yes,portuguese,NA,NA,NA,NA,NA,NA
doctor/physician,médico,yes,médica,yes,portuguese,NA,NA,NA,NA,NA,NA
professor,professor,yes,professora,yes,portuguese,NA,NA,NA,NA,NA,NA
governor,governador,yes,governadora,yes,portuguese,NA,NA,NA,NA,NA,NA
judge,juiz,yes,juíza,yes,portuguese,NA,NA,NA,NA,NA,NA
sailor,marinheiro,yes,marinheira,yes,portuguese,NA,NA,NA,NA,NA,NA
postman/postwoman,carteiro,yes,carteira,no,portuguese,NA,NA,NA,NA,NA,NA
mechanic,mecânico,yes,mecânica,yes,portuguese,NA,NA,NA,NA,NA,NA
hunter,caçador,yes,caçadora,yes,portuguese,NA,NA,NA,NA,NA,NA
firefighter,bombeiro,yes,bombeira,no,portuguese,NA,NA,NA,NA,NA,NA
dancer,dansator,yes,dansatoare,yes,romanian,NA,NA,NA,NA,NA,NA
nurse,infirmieră,yes,infirmier,don't know,romanian,NA,NA,NA,NA,NA,NA
singer,cântăreţ,yes,cantareata,yes,romanian,NA,NA,NA,NA,NA,NA
cleaner,???,NA,femeie de serviciu,yes,romanian,NA,NA,NA,NA,NA,NA
secretary,secretar,yes,secretară,yes,romanian,NA,NA,NA,NA,NA,NA
waiter,chelner,yes,chelneriţă,yes,romanian,NA,NA,NA,NA,NA,NA
journalist,jurnalist,yes,jurnalista,yes,romanian,NA,NA,NA,NA,NA,NA
baker,brutar,yes,???,no,romanian,NA,NA,NA,NA,NA,NA
author,autor,yes,autoare,yes,romanian,NA,NA,NA,NA,NA,NA
athlete,atlet,yes,atleta,yes,romanian,NA,NA,NA,NA,NA,NA
lawyer,avocat,yes,avocata,yes,romanian,NA,NA,NA,NA,NA,NA
doctor/physician,medic,yes,medic (CLT: The masculine version is used even for women.),yes,romanian,NA,NA,NA,NA,NA,NA
professor,profesor,yes,profesoara,yes,romanian,NA,NA,NA,NA,NA,NA
governor,guvernator,yes,guvernatoare,yes,romanian,NA,NA,NA,NA,NA,NA
judge,judecător,yes,judecatoare,yes,romanian,NA,NA,NA,NA,NA,NA
sailor,marinar,yes,???,no,romanian,NA,NA,NA,NA,NA,NA
postman/postwoman,postas,yes,postarita,yes,romanian,NA,NA,NA,NA,NA,NA
mechanic,"maşinist (CLT: This also seems wrong to me. I would say ""mecanic"".",NA,masinista (mecanica),no,romanian,NA,NA,NA,NA,NA,NA
hunter,vânător,yes,vanatoare,no,romanian,NA,NA,NA,NA,NA,NA
firefighter,pompier,yes,pompiera,no,romanian,NA,NA,NA,NA,NA,NA
dancer,dansare/dansör,yes,dansare/dansös,yes,swedish,dansör used very rarely- dansös is specifically female,NA,NA,NA,NA,NA
nurse,sjukskötare/ manlig sjukskoterska,yes,sjuksköterska/barnskoterska,yes,swedish,NA,NA,NA,NA,NA,NA
singer,sångare,yes,sångerska,yes,swedish,NA,NA,NA,NA,NA,NA
cleaner,städare,yes,städerska,no,swedish,NA,NA,NA,NA,NA,NA
secretary,sekreterare,yes,städare,yes,swedish,NA,NA,NA,NA,NA,NA
waiter,servitör,yes,servitris,yes,swedish,NA,NA,NA,NA,NA,NA
journalist,journalist,yes,journalist,yes,swedish,NA,NA,NA,NA,NA,NA
baker,bagare,yes,bagare,yes,swedish,NA,NA,NA,NA,NA,NA
author,författare,yes,författarinna,yes,swedish,NA,NA,NA,NA,NA,NA
athlete,idrottare,yes,idrottare,yes,swedish,NA,NA,NA,NA,NA,NA
lawyer,jurist/advokat,yes,jurist/advokat,yes,swedish,NA,NA,NA,NA,NA,NA
doctor/physician,doktor/läkare,yes,doktor/läkare,yes,swedish,NA,NA,NA,NA,NA,NA
professor,professor,yes,professor,yes,swedish,NA,NA,NA,NA,NA,NA
governor,guvernör,yes,guvernör,yes,swedish,NA,NA,NA,NA,NA,NA
judge,domare/bedömare,yes,domare/bedömare,yes,swedish,NA,NA,NA,NA,NA,NA
sailor,sjöman,yes,sjöman/?,yes,swedish,NA,NA,NA,NA,NA,NA
postman/postwoman,brevbärare,yes,brevbärare,yes,swedish,NA,NA,NA,NA,NA,NA
mechanic,mekaniker,yes,mekaniker,yes,swedish,NA,NA,NA,NA,NA,NA
hunter,jägare,yes,jägare,yes,swedish,NA,NA,NA,NA,NA,NA
firefighter,brandman/brandsoldat,yes,brandman/brandsoldat,yes,swedish,brandsoldat not used,NA,NA,NA,NA,NA
dancer,mananayaw,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
nurse,nars,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
singer,mang-aawit,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
cleaner,katulong/alila,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
secretary,sekretarya,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
waiter,serbidor/weyter,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
journalist,peryodista,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
baker,magtitinapay/panadero,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
author,autor/mangangatha,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
athlete,manlalaro,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
lawyer,abogado,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
doctor/physician,doktor/manggagamot/mediko,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
professor,dalubguro/propesor/katedratiko,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
governor,gobernador/tagapamahala,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
judge,hukom/huwes,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
sailor,mandaragat/manlalayag/marinero/marino,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
postman/postwoman,kartero,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
mechanic,mekaniko/maninigmo,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
hunter,mangangaso,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
firefighter,bumbero/bombero,don't know,NA,don't know,tagalog,NA,NA,NA,NA,NA,NA
dancer,dansçi,yes,dansçi,yes,turkish,NA,NA,NA,NA,NA,NA
nurse,hemşire,yes,hemşire/hastabakici,yes,turkish,NA,NA,NA,NA,NA,NA
singer,şarkıcı,yes,şarkıcı,yes,turkish,NA,NA,NA,NA,NA,NA
cleaner,temizleyici,yes,temizleyici,yes,turkish,NA,NA,NA,NA,NA,NA
secretary,sekreter/yazman,yes,sekreter/yazman,yes,turkish,NA,NA,NA,NA,NA,NA
waiter,garson,yes,(bayan) garson,no,turkish,NA,NA,NA,NA,NA,NA
journalist,gazeteci,yes,gazeteci,yes,turkish,NA,NA,NA,NA,NA,NA
baker,fırıncı,yes,fırıncı,yes,turkish,NA,NA,NA,NA,NA,NA
author,yazar,yes,(bayan) yazar,no,turkish,NA,NA,NA,NA,NA,NA
athlete,atlet,yes,atlet,yes,turkish,NA,NA,NA,NA,NA,NA
lawyer,avukat,yes,avukat,yes,turkish,NA,NA,NA,NA,NA,NA
doctor/physician,doktor/hekim,yes,doktor/hekim,yes,turkish,NA,NA,NA,NA,NA,NA
professor,profesör,yes,profesör,yes,turkish,NA,NA,NA,NA,NA,NA
governor,Vali,yes,Vali,yes,turkish,NA,NA,NA,NA,NA,NA
judge,hâkim,yes,hâkim,yes,turkish,NA,NA,NA,NA,NA,NA
sailor,denizci/gemici,yes,denizci/gemici,yes,turkish,NA,NA,NA,NA,NA,NA
postman/postwoman,postacı,yes,postacı,yes,turkish,NA,NA,NA,NA,NA,NA
mechanic,makinist,yes,makinist,yes,turkish,NA,NA,NA,NA,NA,NA
hunter,avcı,yes,avcı,yes,turkish,NA,NA,NA,NA,NA,NA
firefighter,itfaiyeci,yes,itfaiyeci,yes,turkish,NA,NA,NA,NA,NA,NA
dancer,舞者/舞蹈演员,don't know,舞者/舞蹈演员,don't know,chinese,NA,NA,NA,NA,NA,NA
nurse,护士,yes,护士,yes,chinese,NA,NA,NA,NA,NA,NA
singer,歌手/歌唱家,yes,歌手/歌唱家,yes,chinese,NA,NA,NA,NA,NA,NA
cleaner,保洁员/环卫工,yes,保洁员/环卫工,yes,chinese,NA,NA,NA,NA,NA,NA
secretary,秘书,yes,秘书,yes,chinese,NA,NA,NA,NA,NA,NA
waiter,服务员,yes,服务员,yes,chinese,NA,NA,NA,NA,NA,NA
journalist,记者,yes,记者,yes,chinese,NA,NA,NA,NA,NA,NA
baker,糕点师,yes,糕点师,yes,chinese,NA,NA,NA,NA,NA,NA
author,作家/作者,yes,作家/作者,yes,chinese,NA,NA,NA,NA,NA,NA
athlete,运动员,yes,远动员,yes,chinese,NA,NA,NA,NA,NA,NA
lawyer,律师,yes,律师,yes,chinese,NA,NA,NA,NA,NA,NA
doctor/physician,医生,yes,医生,yes,chinese,NA,NA,NA,NA,NA,NA
professor,教授,yes,教授,yes,chinese,NA,NA,NA,NA,NA,NA
governor,NA,NA,NA,NA,chinese,NA,NA,NA,NA,NA,NA
judge,法官,yes,法官,yes,chinese,NA,NA,NA,NA,NA,NA
sailor,船员,yes,船员,yes,chinese,NA,NA,NA,NA,NA,NA
postman/postwoman,邮递员,yes,邮递员,yes,chinese,NA,NA,NA,NA,NA,NA
mechanic,技工,yes,技工,yes,chinese,NA,NA,NA,NA,NA,NA
hunter,猎人,yes,猎人,yes,chinese,NA,NA,NA,NA,NA,NA
firefighter,消防员,yes,消防员,yes,chinese,NA,NA,NA,NA,NA,NA
dancer,umdansi,NA,NA,NA,zulu,**No feminine or masculine nouns,NA,NA,NA,NA,NA
nurse,umhlengikazi,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
singer,umculi,NA,NA,NA,zulu,**couldn't find cleaner,NA,NA,NA,NA,NA
cleaner,NA,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
secretary,uNobhalajikelele,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
waiter,uweta,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
journalist,intatheli,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
baker,umbhaki,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
author,umenzi,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
athlete,umbaleki,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
lawyer,ummeli,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
doctor/physician,udokotela,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
professor,usolwazi,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
governor,umbusi,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
judge,umehluleli,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
sailor,itilosi,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
postman/postwoman,okuthwala imeyili,NA,NA,NA,zulu,"**coudn't find ""postman"" but found ""mail carrier""",NA,NA,NA,NA,NA
mechanic,umakheniki,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
hunter,umzingeli,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
firefighter,umacishumlilo,NA,NA,NA,zulu,NA,NA,NA,NA,NA,NA
dancer,Tänzer,yes,Tänzerin,yes,german,NA,NA,NA,NA,NA,NA
nurse,Pfleger/Krankenpfleger,yes,Pflegerin/Krankenschwester,yes,german,NA,NA,NA,NA,NA,NA
singer,Sänger,yes,Sängerin,yes,german,NA,NA,NA,NA,NA,NA
cleaner,Reinigungskraft,yes,Putzfrau/Reinigungskraft,yes,german,NA,NA,NA,NA,NA,"this is somewhat similar to the ""waiter"" case below. People still use ""Putzfrau"" (for a female cleaner), but it is beginning to get a derogatory connotation. ""Reinigungskraft"" is grammatically feminine because Kraft (=power) is grammatically feminine, but is used for both genders and doesn't carry explicit gender associations"
secretary,Sekretär/Geschäftsführer,yes,Sekretärin/Geschäftsführerin,yes,german,NA,NA,NA,NA,NA,NA
waiter,Bedienung/Kellner,yes,Bedienung/Kellnerin,yes,german,NA,NA,NA,NA,NA,"waiter can be ""Bedienung"" (which is grammatically gendered - female - but can be used for men and women - it's kind of like using a plural form, i.e. servers); a sort of more traditional word is ""Kellner"" (for men) and Kellnerin (for women); I would guess that Kellner/Kellnerin is slowly becoming less frequent compared to the word that doesn't require different uses for different genders. Both terms are still used, but one is being overtaken (I would guess),"
journalist,Journalist,yes,Journalistin,yes,german,NA,NA,NA,NA,NA,NA
baker,Bäcker,yes,Bäckerin,yes,german,NA,NA,NA,NA,NA,NA
author,Schriftsteller/ Autor,yes,Schriftstellerin/ Autorin,yes,german,NA,NA,NA,NA,NA,NA
athlete,Sportler/ Athlet,yes,Sportlerin/ Athletin,yes,german,NA,NA,NA,NA,NA,NA
lawyer,Rechtsanwalt/Jurist/Anwalt,yes,Rechtsanwältin/Juristin/Anwältin,yes,german,NA,NA,NA,NA,NA,NA
doctor/physician,Arzt,yes,Ärztin,yes,german,NA,NA,NA,NA,NA,NA
professor,Professor,yes,Professorin,yes,german,NA,NA,NA,NA,NA,NA
governor,Gouverneur,yes,Gouverneur,yes,german,NA,NA,NA,NA,NA,"grammatically masculine. This would be the translation in a German newspaper talking about the political position in America. There is also the term ""Landeshauptmann (men)/ Landeshauptfrau (women)"" for a similar political position, but that is only really a thing in Austria, to my knowledge."
judge,Richter,yes,Richterin,yes,german,NA,NA,NA,NA,NA,NA
sailor,Seemann/Matrose/ Segler/ Seefahrer,yes,Matrosin/ Seglerin/ Seefahrerin,no,german,NA,NA,NA,NA,NA,"I'm not sure the forms that are woman-specific are actually used very frequently. ""Seemann"" feels like the most frequent term, which is male (""mann""), but there isn't really a female equivalent (i.e., ""Seefrau"" isn't really a thing...)"
postman/postwoman,Briefträger/Postbote,yes,Briefträgerin/Postbotin,yes,german,NA,NA,NA,NA,NA,NA
mechanic,Mechaniker,yes,Mechanikerin,yes,german,NA,NA,NA,NA,NA,NA
hunter,Jäger,yes,Jägerin,yes,german,NA,NA,NA,NA,NA,NA
firefighter,Feuerwehrmann,no,Feuerwehrfrau,no,german,NA,NA,NA,NA,NA,"""Feuerwehrfrau"" is - I think - a new coinage to refer to a female firefighter that is not typically used - which is why I put ""no"" in that column"
